run_accession,te,reads,reads_in_file,reads_mapped
SRR1663588,Tc3,1013,16900536,1541393
SRR1663588,Doc3-element,16051,16900536,1541393
SRR1663588,Dbuz:INE-1,86,16900536,1541393
SRR1663588,rooA,12143,16900536,1541393
SRR1663588,Dfun:Isfun-1,22,16900536,1541393
SRR1663588,Q-element,918,16900536,1541393
SRR1663588,frogger,1056,16900536,1541393
SRR1663588,accord2,8102,16900536,1541393
SRR1663588,NOF,767,16900536,1541393
SRR1663588,hobo,5191,16900536,1541393
SRR1663588,P-element,3132,16900536,1541393
SRR1663588,baggins,22461,16900536,1541393
SRR1663588,Dyak:TART,111,16900536,1541393
SRR1663588,gypsy2,7824,16900536,1541393
SRR1663588,gypsy3,4351,16900536,1541393
SRR1663588,mdg3,10213,16900536,1541393
SRR1663588,gypsy4,15844,16900536,1541393
SRR1663588,gypsy5,3680,16900536,1541393
SRR1663588,mdg1,26616,16900536,1541393
SRR1663588,gypsy6,8364,16900536,1541393
SRR1663588,gypsy7,5516,16900536,1541393
SRR1663588,Ddip:Bari1,435,16900536,1541393
SRR1663588,gypsy8,2018,16900536,1541393
SRR1663588,gypsy9,1771,16900536,1541393
SRR1663588,Stalker4,27794,16900536,1541393
SRR1663588,Stalker2,13282,16900536,1541393
SRR1663588,gypsy11,1291,16900536,1541393
SRR1663588,Dsim:ninja,2581,16900536,1541393
SRR1663588,Stalker3,662,16900536,1541393
SRR1663588,gypsy12,7844,16900536,1541393
SRR1663588,Dmir:spock,1,16900536,1541393
SRR1663588,FB,8482,16900536,1541393
SRR1663588,Damb:P-element_T,32,16900536,1541393
SRR1663588,3S18,10625,16900536,1541393
SRR1663588,Ivk,12858,16900536,1541393
SRR1663588,gypsy10,5422,16900536,1541393
SRR1663588,aurora-element,2060,16900536,1541393
SRR1663588,transib1,986,16900536,1541393
SRR1663588,transib2,6491,16900536,1541393
SRR1663588,transib3,2515,16900536,1541393
SRR1663588,G2,4804,16900536,1541393
